"","Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"5025",5113,"Prince of Persia: The Forgotten Sands","PSP","2010","Action","Ubisoft",0.09,0.18,0.01,0.1,0.37
"5026",5114,"Rampage: Total Destruction","PS2","2006","Action","Midway Games",0.18,0.14,0,0.05,0.37
"5027",5115,"High Heat Major League Baseball 2003","PS2","2002","Sports","3DO",0.18,0.14,0,0.05,0.37
"5028",5116,"Madden NFL 11","PSP","2010","Sports","Electronic Arts",0.35,0,0,0.03,0.37
"5029",5117,"Super Formation Soccer 94","SNES","1994","Sports","Human Entertainment",0,0,0.37,0,0.37
"5030",5118,"Panzer Dragoon","SAT","1995","Shooter","Sega",0,0,0.37,0,0.37
"5031",5119,"Tiger Woods PGA Tour 12: The Masters","Wii","2011","Sports","Electronic Arts",0.21,0.13,0,0.03,0.37
"5032",5120,"Rage","PC","2011","Shooter","Bethesda Softworks",0.14,0.18,0,0.06,0.37
"5033",5121,"Spider-Man: Friend or Foe","PS2","2007","Action","Activision",0.31,0.01,0,0.05,0.37
"5034",5122,"Yarudora Series Vol.1: Double Cast","PS","1998","Adventure","Sony Computer Entertainment",0,0,0.35,0.02,0.37
"5035",5123,"Dungeon Siege III","X360","2011","Role-Playing","Square Enix",0.21,0.12,0.01,0.03,0.37
"5036",5124,"Juiced 2: Hot Import Nights","PSP","2007","Racing","THQ",0.06,0.2,0,0.11,0.37
"5037",5125,"Rec Room Games","Wii","2009","Sports","Destineer",0.35,0,0,0.02,0.37
"5038",5126,"Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!","N64","2000","Role-Playing","ChunSoft",0,0,0.32,0.05,0.37
"5039",5127,"Turok: Rage Wars","N64","1999","Shooter","Acclaim Entertainment",0.3,0.06,0,0,0.37
"5040",5128,"Scooby-Doo! Classic Creep Capers","N64","2000","Action","THQ",0.3,0.06,0,0,0.37
"5041",5129,"Dragonfire","2600","1981","Action","Imagic",0.35,0.02,0,0,0.37
"5042",5130,"Custom Robo","GC","2004","Role-Playing","Nintendo",0.29,0.07,0,0.01,0.37
"5043",5131,"FIFA Soccer 13","PSP","2012","Action","Electronic Arts",0.05,0.19,0.02,0.1,0.37
"5044",5132,"Command & Conquer: Red Alert 3 Ultimate Edition","PS3","2009","Strategy","Electronic Arts",0.14,0.17,0,0.06,0.37
"5045",5133,"Harry Potter and the Order of the Phoenix","PSP","2007","Action","Electronic Arts",0.1,0.17,0,0.1,0.37
"5046",5134,"Medieval II: Total War Gold Edition","PC","2008","Strategy","Sega",0,0.33,0,0.03,0.37
"5047",5135,"Pac-Man World 2","GC","2002","Action","Nintendo",0.28,0.07,0,0.01,0.37
"5048",5136,"Kotoba no Puzzle: Mojipittan DS","DS","2007","Puzzle","Namco Bandai Games",0,0,0.37,0,0.37
"5049",5137,"Barbie Horse Adventures: Blue Ribbon Race","GBA","2003","Sports","Knowledge Adventure",0.26,0.1,0,0.01,0.37
"5050",5138,"Bionic Commando","PS3","2009","Platform","Capcom",0.12,0.17,0.01,0.07,0.37
"5051",5139,"Wanted: Weapons of Fate","X360","2009","Shooter","Warner Bros. Interactive Entertainment",0.17,0.15,0,0.04,0.37
"5052",5140,"Slime MoriMori Dragon Quest: Shougeki No Shippo Dan","GBA","2003","Adventure","Square Enix",0,0,0.36,0.01,0.37
"5053",5141,"Dishonored","PS4","2015","Action","Bethesda Softworks",0.11,0.18,0.02,0.06,0.37
"5054",5142,"Marvel: Ultimate Alliance","PSP","2006","Role-Playing","Activision",0.33,0,0,0.03,0.37
"5055",5143,"NFL Street 2 Unleashed","PSP","2005","Sports","Electronic Arts",0.34,0,0,0.03,0.37
"5056",5144,"Super Robot Taisen EX","SNES","1994","Strategy","Banpresto",0,0,0.37,0,0.37
"5057",5145,"FIFA Street 2","PS2","2006","Sports","Electronic Arts",0.17,0.13,0.02,0.04,0.37
"5058",5146,"Bottom of the 9th","N64","1999","Sports","Konami Digital Entertainment",0.37,0,0,0,0.37
"5059",5147,"Theatrhythm Final Fantasy: Curtain Call","3DS","2014","Misc","Square Enix",0.13,0.08,0.15,0.02,0.37
"5060",5148,"Trauma Center: Under the Knife","DS","2005","Simulation","Nintendo",0.3,0.01,0.02,0.03,0.37
"5061",5149,"Shin Megami Tensei II","SNES","1994","Role-Playing","Atlus",0,0,0.37,0,0.37
"5062",5150,"Xenosaga Episode III: Also sprach Zarathustra","PS2","2006","Role-Playing","Namco Bandai Games",0.09,0.07,0.18,0.02,0.37
"5063",5151,"Build-A-Bear Workshop: A Friend Fur All Seasons","Wii","2008","Simulation","Game Factory",0.34,0,0,0.03,0.37
"5064",5152,"Sid Meier's Civilization: Beyond Earth","PC","2014","Strategy","Take-Two Interactive",0.11,0.22,0,0.03,0.37
"5065",5153,"Need for Speed: The Run","PC","2011","Action","Electronic Arts",0.09,0.21,0,0.07,0.37
"5066",5154,"Virtua Fighter 3tb","DC","1998","Fighting","Sega",0,0,0.37,0,0.37
"5067",5155,"Transformers: Dark of the Moon","PS3","2011","Action","Activision",0.11,0.19,0,0.07,0.37
"5068",5156,"Mini-Yonku GB: Let's & Go!!","GB","1997","Strategy","ASCII Entertainment",0,0,0.37,0,0.37
"5069",5157,"Skylanders SWAP Force","PS4","2013","Platform","Activision",0.2,0.12,0,0.05,0.37
"5070",5158,"LEGO Batman 2: DC Super Heroes","PSV","2012","Action","Warner Bros. Interactive Entertainment",0.17,0.13,0,0.06,0.37
"5071",5159,"Rock Band 4","PS4","2015","Misc","Harmonix Music Systems",0.25,0.05,0,0.07,0.37
"5072",5160,"Left 4 Dead 2","PC","2009","Shooter","Valve Software",0,0.32,0,0.04,0.37
"5073",5161,"The Sims 2: Castaway","PS2","2007","Simulation","Electronic Arts",0.3,0.01,0,0.05,0.37
"5074",5162,"NCAA Football 07","PSP","2006","Sports","Electronic Arts",0.34,0,0,0.03,0.37
"5075",5163,"The Chronicles of Narnia: Prince Caspian","Wii","2008","Action","Disney Interactive Studios",0.31,0.02,0,0.03,0.36
"5076",5165,"Dreamworks Madagascar Kartz","DS","2009","Racing","Activision",0.25,0.08,0,0.03,0.36
"5077",5166,"My Horse & Me","DS","2007","Sports","Atari",0.33,0,0,0.03,0.36
"5078",5167,"GoldenEye: Rogue Agent","GC","2004","Shooter","Electronic Arts",0.28,0.07,0,0.01,0.36
"5079",5168,"Zero4 Champ RR","SNES","1994","Sports","Media Rings",0,0,0.36,0,0.36
"5080",5169,"Dragon Ball Z: Infinite World","PS2","2008","Fighting","Namco Bandai Games",0.08,0.06,0.21,0.02,0.36
"5081",5170,"Nonomura Byoin no Hitobito","SAT","1996","Adventure","Elf",0,0,0.36,0,0.36
"5082",5171,"Tom Clancy's HAWX 2","X360","2010","Action","Ubisoft",0.24,0.09,0.01,0.03,0.36
"5083",5172,"ESPN X Games Skateboarding","PS2","2001","Sports","Konami Digital Entertainment",0.18,0.14,0,0.05,0.36
"5084",5174,"Resident Evil Zero","PS4","2016","Action","Capcom",0.09,0.17,0.05,0.05,0.36
"5085",5175,"Super Fire ProWrestling Special","SNES","1994","Fighting","Human Entertainment",0,0,0.36,0,0.36
"5086",5176,"Yuu Yuu Hakusho","SNES","1993","Fighting","Namco Bandai Games",0,0,0.36,0,0.36
"5087",5177,"Kamaitachi no Yoru 2","PS2","2002","Adventure","ChunSoft",0,0,0.36,0,0.36
"5088",5178,"High Heat Major League Baseball 2004","PS2","2003","Sports","3DO",0.18,0.14,0,0.05,0.36
"5089",5179,"Robots","PS2","2005","Action","Vivendi Games",0.18,0.14,0,0.05,0.36
"5090",5180,"NARC","PS2","2005","Shooter","Midway Games",0.18,0.14,0,0.05,0.36
"5091",5181,"One Piece: Gigant Battle!","DS","2010","Fighting","Namco Bandai Games",0,0,0.36,0,0.36
"5092",5182,"Valkyrie Profile: Lenneth","PSP","2006","Role-Playing","Square Enix",0.17,0.01,0.16,0.02,0.36
"5093",5183,"Tiger Woods PGA Tour 09","PSP","2008","Sports","Electronic Arts",0.07,0.19,0,0.1,0.36
"5094",5184,"Metro: Last Light","X360","2013","Action","Deep Silver",0.17,0.16,0,0.03,0.36
"5095",5185,"Tiger Woods PGA Tour 14","X360","2013","Sports","Electronic Arts",0.21,0.13,0,0.03,0.36
"5096",5186,"LocoRoco 2","PSP","2008","Platform","Sony Computer Entertainment",0.21,0.09,0.01,0.05,0.36
"5097",5187,"Monster Rancher 3","PS2","2001","Simulation","Tecmo Koei",0.11,0.09,0.14,0.03,0.36
"5098",5188,"The Incredibles: Rise of the Underminer","PS2","2005","Action","THQ",0.18,0.14,0,0.05,0.36
"5099",5189,"Spider-Man: Shattered Dimensions","X360","2010","Action","Activision",0.24,0.09,0,0.03,0.36
"5100",5190,"BlazBlue: Calamity Trigger","X360","2009","Fighting","PQube",0.21,0.08,0.04,0.03,0.36
"5101",5191,"MechWarrior 2: 31st Century Combat","PS","1997","Simulation","Activision",0.2,0.14,0,0.02,0.36
"5102",5192,"Earth Defense Force 2025","PS3","2013","Shooter","D3Publisher",0.04,0.03,0.27,0.02,0.36
"5103",5193,"Hamtaro: Ham-Ham Heartbreak","GBA","2002","Action","Nintendo",0.26,0.1,0,0.01,0.36
"5104",5194,"Okage: Shadow King","PS2","2001","Role-Playing","Sony Computer Entertainment",0.14,0.11,0.08,0.04,0.36
"5105",5195,"Press Your Luck 2010 Edition","Wii","2009","Misc","Ubisoft",0.33,0,0,0.03,0.36
"5106",5196,"Mobile Suit Z-Gundam","PS","1997","Action","Namco Bandai Games",0,0,0.34,0.02,0.36
"5107",5199,"Speed Racer: The Videogame","DS","2008","Racing","Warner Bros. Interactive Entertainment",0.29,0.05,0,0.03,0.36
"5108",5200,"NHL 2K10","Wii","2009","Sports","Take-Two Interactive",0.33,0.01,0,0.03,0.36
"5109",5201,"Assassin's Creed III","WiiU","2012","Action","Ubisoft",0.19,0.13,0,0.03,0.36
"5110",5202,"Kirby's Dream Land 3","SNES","1997","Platform","Nintendo",0,0,0.36,0,0.36
"5111",5203,"Big Bass World Championship","PS","1997","Sports","Starfish",0.2,0.14,0,0.02,0.36
"5112",5204,"NFL GameDay 2001","PS2","2000","Sports","Sony Computer Entertainment",0.18,0.14,0,0.05,0.36
"5113",5205,"NBA 2K6","XB","2005","Action","Take-Two Interactive",0.27,0.08,0,0.01,0.36
"5114",5206,"Jurassic Park","NES","1993","Action","Ocean",0.25,0.1,0,0.01,0.36
"5115",5207,"Mystical Ninja starring Goemon","N64","1997","Action","Konami Digital Entertainment",0.07,0.02,0.23,0.04,0.36
"5116",5208,"Tetrisphere","N64","1997","Puzzle","Nintendo",0.29,0.06,0,0,0.36
"5117",5209,"Saban's Power Rangers: Lightspeed Rescue","N64","2000","Action","THQ",0.29,0.06,0,0,0.36
"5118",5210,"Senran Kagura Shinovi Versus: Sh?jo-tachi no Sh?mei","PSV","2013","Fighting","Marvelous Entertainment",0.13,0.02,0.16,0.05,0.36
"5119",5211,"North American Hunting Extravaganza","Wii","2008","Sports","Zushi Games",0.33,0,0,0.03,0.36
"5120",5212,"World's Scariest Police Chases","PS","2001","Racing","Activision",0.2,0.14,0,0.02,0.36
"5121",5213,"Guitar Hero: Smash Hits","PS3","2009","Misc","Activision",0.2,0.11,0,0.05,0.36
"5122",5214,"Shaun Palmer's Pro Snowboarder","GBA","2001","Sports","Activision",0.26,0.1,0,0.01,0.36
"5123",5215,"AMF Bowling World Lanes","Wii","2008","Sports","Bethesda Softworks",0.33,0,0,0.03,0.36
"5124",5216,"MechAssault 2: Lone Wolf","XB","2004","Simulation","Microsoft Game Studios",0.27,0.08,0,0.01,0.36
"5125",5217,"Middle-Earth: Shadow of Mordor","PC","2014","Action","Warner Bros. Interactive Entertainment",0.12,0.2,0,0.04,0.36
"5126",5218,"Hamster Club 3","GBA","2002","Simulation","Jorudan",0,0,0.35,0.01,0.36
"5127",5219,"Breath of Fire II","SNES","1994","Role-Playing","Laguna",0,0,0.36,0,0.36
"5128",5220,"Call of Duty: Ghosts","WiiU","2013","Shooter","Activision",0.23,0.09,0.01,0.03,0.36
"5129",5221,"LEGO Racers","PS","1999","Racing","LEGO Media",0.2,0.14,0,0.02,0.36
"5130",5222,"NBA 2K12","Wii","2011","Sports","Take-Two Interactive",0.3,0.03,0,0.02,0.36
"5131",5223,"Teenage Mutant Ninja Turtles: Smash-Up","Wii","2009","Fighting","Ubisoft",0.33,0,0,0.03,0.36
"5132",5224,"Kinectimals: Now with Bears!","X360","2011","Misc","Microsoft Game Studios",0.27,0.06,0,0.03,0.36
"5133",5225,"ESPN NFL Football","XB","2003","Sports","Sega",0.27,0.08,0,0.01,0.36
"5134",5226,"ATV/Monster Truck Mayhem","DS","2007","Racing","Destination Software, Inc",0.33,0,0,0.02,0.36
"5135",5227,"Naruto: Ultimate Ninja 3 (JP sales)","PS2","2005","Fighting","Atari",0,0,0.36,0,0.36
"5136",5228,"Just Dance 2016","X360","2015","Misc","Ubisoft",0.23,0.1,0,0.03,0.36
"5137",5229,"Worms: Open Warfare 2","DS","2007","Strategy","THQ",0.07,0.25,0,0.04,0.36
"5138",5230,"Rapala Pro Fishing","PS2","2004","Sports","Zoo Digital Publishing",0.18,0.14,0,0.05,0.36
"5139",5231,"J-League Pro Soccer Club o Tsukurou '04","PS2","2004","Sports","Sega",0,0,0.36,0,0.36
"5140",5232,"Dark Void","PS3","2010","Action","Capcom",0.18,0.12,0,0.06,0.36
"5141",5233,"James Bond 007: Legends","PS3","2012","Shooter","Activision",0.11,0.17,0,0.07,0.36
"5142",5234,"Dai-2-Ji Super Robot Taisen Z Saisei-hen","PSP","2012","Strategy","Namco Bandai Games",0,0,0.36,0,0.36
"5143",5235,"WWE '12","Wii","2011","Fighting","THQ",0.24,0.09,0,0.03,0.36
"5144",5236,"Disney's The Haunted Mansion","PS2","2003","Platform","Take-Two Interactive",0.18,0.14,0,0.05,0.36
"5145",5237,"Arc the Lad: Twilight of the Spirits","PS2","2003","Role-Playing","Sony Computer Entertainment",0.18,0.14,0,0.05,0.36
"5146",5238,"Dance Dance Revolution 3rdMix","PS","2000","Simulation","Konami Digital Entertainment",0,0,0.33,0.02,0.36
"5147",5239,"Ryu Ga Gotoku Kenzan!","PS3","2008","Adventure","Sega",0,0,0.36,0,0.36
"5148",5240,"U-Sing","Wii","2009","Misc","Mindscape",0,0.32,0,0.03,0.36
"5149",5241,"Super Robot Taisen A","GBA","2001","Strategy","Banpresto",0,0,0.35,0.01,0.36
"5150",5243,"Chicken Shoot","Wii","2007","Action","Zoo Digital Publishing",0.33,0.01,0,0.02,0.36
"5151",5244,"Company of Heroes 2","PC","2013","Strategy","THQ",0.06,0.25,0,0.05,0.36
"5152",5245,"Defiance","PS3","2013","Shooter","Trion Worlds",0.19,0.11,0,0.05,0.36
"5153",5246,"We Sing Deutsche Hits","Wii","2011","Misc","Nordic Games",0,0.31,0,0.05,0.36
"5154",5247,"Boxer's Road","PS","1995","Fighting","New",0,0,0.33,0.02,0.36
"5155",5248,"Frogs And Flies","2600","1981","Action","Mattel Interactive",0.33,0.02,0,0,0.36
"5156",5249,"DanceDanceRevolution","Wii","2010","Simulation","Konami Digital Entertainment",0.29,0.04,0,0.02,0.36
"5157",5250,"Harry Potter and the Chamber of Secrets","XB","2002","Action","Electronic Arts",0.27,0.08,0,0.01,0.36
"5158",5251,"EA Sports MMA","X360","2010","Fighting","Electronic Arts",0.23,0.1,0,0.03,0.36
"5159",5252,"Toriko: Gourmet Survival!","PSP","2011","Role-Playing","Namco Bandai Games",0,0,0.36,0,0.36
"5160",5253,"South Park Rally","PS","1998","Racing","Acclaim Entertainment",0.2,0.13,0,0.02,0.36
"5161",5254,"Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame","SNES","1994","Platform","Konami Digital Entertainment",0,0,0.36,0,0.36
"5162",5255,"Monopoly","PS3","2008","Misc","Electronic Arts",0.25,0.06,0,0.04,0.36
"5163",5256,"Mega Man Zero Collection","DS","2010","Platform","Capcom",0.21,0.02,0.11,0.02,0.36
"5164",5257,"Arctic Thunder","PS2","2001","Racing","Midway Games",0.17,0.14,0,0.05,0.36
"5165",5258,"G-Force","PSP","2009","Action","Electronic Arts",0.24,0.07,0,0.05,0.36
"5166",5259,"NHL 2K10","PS2","2009","Sports","Take-Two Interactive",0.17,0.14,0,0.05,0.36
"5167",5260,"Football Manager Handheld 2010","PSP","2009","Sports","Sega",0,0.26,0,0.09,0.36
"5168",5261,"J-League Pro Soccer Club o Tsukurou!","DC","1999","Sports","Sega",0,0,0.36,0,0.36
"5169",5262,"Wonder Pets! Save the Animals!","DS","2008","Adventure","Take-Two Interactive",0.33,0,0,0.02,0.36
"5170",5263,"Formula 1 Championship Edition","PS","1997","Racing","Psygnosis",0.06,0.04,0.23,0.02,0.36
"5171",5264,"Shrek","XB","2001","Platform","TDK Mediactive",0.25,0.1,0,0.01,0.36
"5172",5265,"CSI: Deadly Intent - The Hidden Cases","DS","2009","Adventure","Ubisoft",0.16,0.16,0,0.04,0.35
"5173",5266,"SOCOM: Tactical Strike","PSP","2007","Shooter","Sony Computer Entertainment",0.32,0.01,0,0.03,0.35
"5174",5267,"Blasto","PS","1998","Action","Sony Computer Entertainment",0.2,0.13,0,0.02,0.35
"5175",5268,"Trauma Center: Second Opinion","Wii","2006","Simulation","Nintendo",0.28,0.02,0.03,0.03,0.35
"5176",5269,"Backyard Baseball 2006","GBA","2005","Sports","Atari",0.25,0.09,0,0.01,0.35
"5177",5270,"Dark Souls III","XOne","2016","Role-Playing","Namco Bandai Games",0.23,0.09,0,0.03,0.35
"5178",5271,"Cabela's Outdoor Adventures (2006)","PS2","2005","Sports","Zoo Digital Publishing",0.17,0.14,0,0.05,0.35
"5179",5272,"Nicktoons: Unite!","GC","2005","Adventure","THQ",0.27,0.07,0,0.01,0.35
"5180",5273,"Suikoden V","PS2","2006","Role-Playing","Konami Digital Entertainment",0.08,0.06,0.19,0.02,0.35
"5181",5274,"Picross 2","GB","1996","Puzzle","Nintendo",0,0,0.35,0,0.35
"5182",5275,"Remember Me","PS3","2013","Action","Capcom",0.1,0.18,0,0.07,0.35
"5183",5276,"Battalion Wars 2","Wii","2007","Strategy","Nintendo",0.22,0.03,0.08,0.02,0.35
"5184",5277,"Outlaw Golf 2","PS2","2004","Sports","Global Star",0.17,0.14,0,0.05,0.35
"5185",5278,"SpongeBob's Boating Bash","Wii","2010","Misc","THQ",0.25,0.07,0,0.03,0.35
"5186",5279,"Sentouchu: Densetsu no Shinobi to Survival Battle!","3DS","2013","Action","Namco Bandai Games",0,0,0.35,0,0.35
"5187",5280,"Vancouver 2010 - The Official Video Game of the Olympic Winter Games","PS3","2010","Sports","Sega",0.09,0.2,0,0.07,0.35
"5188",5281,"Momotarou Dentetsu 12","PS2","2003","Misc","Hudson Soft",0,0,0.35,0,0.35
"5189",5282,"Mini Ninjas","PS3","2009","Action","Eidos Interactive",0.14,0.16,0,0.06,0.35
"5190",5283,"Tekken Tag Tournament 2","X360","2012","Fighting","Namco Bandai Games",0.19,0.12,0.01,0.03,0.35
"5191",5284,"Batman: Rise of Sin Tzu","PS2","2003","Action","Ubisoft",0.17,0.13,0,0.05,0.35
"5192",5285,"Disney's Tarzan: Return to the Jungle","GBA","2002","Action","Activision",0.25,0.09,0,0.01,0.35
"5193",5286,"Cabela's Dangerous Hunts","XB","2003","Sports","Zoo Digital Publishing",0.26,0.08,0,0.01,0.35
"5194",5287,"Terminator Salvation","X360","2009","Shooter","Warner Bros. Interactive Entertainment",0.13,0.18,0,0.04,0.35
"5195",5288,"Jikkyou Powerful Pro Yakyuu 13","PS2","2006","Sports","Konami Digital Entertainment",0,0,0.35,0,0.35
"5196",5289,"Fossil Fighters: Frontier","3DS","2014","Role-Playing","Nintendo",0.08,0.04,0.23,0.01,0.35
"5197",5290,"Star Fox: Zero","WiiU","2016","Shooter","Nintendo",0.16,0.1,0.07,0.03,0.35
"5198",5291,"Mega Man X3","SNES","1995","Action","Laguna",0.04,0.01,0.3,0,0.35
"5199",5292,"Mini Ninjas","DS","2009","Action","Eidos Interactive",0.17,0.15,0,0.04,0.35
"5200",5293,"Stunt Race FX","SNES","1993","Racing","Nintendo",0,0,0.35,0,0.35
"5201",5294,"Bloody Roar 3","PS2","2001","Fighting","Virgin Interactive",0.15,0.11,0.05,0.04,0.35
"5202",5295,"WWE Crush Hour","PS2","2003","Racing","THQ",0.17,0.13,0,0.04,0.35
"5203",5296,"Persona 2: Eternal Punishment","PS","2000","Role-Playing","Atlus",0.03,0.02,0.28,0.02,0.35
"5204",5297,"Star Wars: Flight of the Falcon","GBA","2003","Action","THQ",0.25,0.09,0,0.01,0.35
"5205",5298,"One Piece: Gigant Battle 2 Shin Sekai","DS","2011","Fighting","Namco Bandai Games",0,0,0.35,0,0.35
"5206",5299,"Pac-Man All-Stars","PS3","2011","Fighting","Namco Bandai Games",0.2,0.08,0.04,0.04,0.35
"5207",5300,"Def Jam Rapstar","Wii","2010","Misc","Konami Digital Entertainment",0.31,0.02,0,0.02,0.35
"5208",5301,"SimCity Creator","DS","2008","Simulation","Electronic Arts",0.3,0.03,0,0.03,0.35
"5209",5302,"Hannah Montana: The Movie","Wii","2009","Adventure","Disney Interactive Studios",0.13,0.18,0,0.04,0.35
"5210",5303,"Angry Birds Star Wars","Wii","2013","Strategy","Activision",0.21,0.1,0,0.03,0.35
"5211",5305,"Mega Man ZX Advent","DS","2007","Platform","Capcom",0.23,0,0.09,0.02,0.35
"5212",5306,"Jikkyou Powerful Pro Yakyuu 2000","N64","2000","Sports","Konami Digital Entertainment",0,0,0.29,0.06,0.35
"5213",5307,"Sniper: Ghost Warrior 2","PS3","2013","Shooter","City Interactive",0.05,0.19,0.03,0.07,0.35
"5214",5308,"Racquet Sports","PS3","2010","Sports","Ubisoft",0.11,0.17,0,0.06,0.35
"5215",5309,"Harry Potter and the Deathly Hallows - Part 2","Wii","2011","Action","Electronic Arts",0.18,0.14,0,0.03,0.35
"5216",5310,"Supreme Commander 2","X360","2010","Strategy","Square Enix",0.23,0.1,0,0.03,0.35
"5217",5311,"Resident Evil: Dead Aim","PS2","2003","Action","Capcom",0.17,0.13,0,0.04,0.35
"5218",5312,"Need for Speed Carbon","GC","2006","Racing","Electronic Arts",0.27,0.07,0,0.01,0.35
"5219",5313,"The Adventures of Jimmy Neutron Boy Genius: Jet Fusion","GBA","2003","Action","THQ",0.25,0.09,0,0.01,0.35
"5220",5314,"SpongeBob SquarePants: The Yellow Avenger","DS","2005","Action","THQ",0.32,0,0,0.02,0.35
"5221",5315,"The Fairly Odd Parents: Shadow Showdown","PS2","2004","Platform","THQ",0.17,0.13,0,0.04,0.35
"5222",5316,"Saban's Power Rangers: Lightspeed Rescue","PS","2000","Action","THQ",0.19,0.13,0,0.02,0.35
"5223",5317,"Xbox Music Mixer","XB","2003","Misc","Microsoft Game Studios",0.26,0.08,0,0.01,0.35
"5224",5318,"WWE All Stars","X360","2011","Fighting","THQ",0.18,0.14,0,0.03,0.35
"5225",5319,"The Shoot","PS3","2010","Shooter","Sony Computer Entertainment",0.13,0.16,0.01,0.06,0.35
"5226",5320,"College Hoops 2K8","PS2","2007","Sports","Take-Two Interactive",0.17,0.13,0,0.04,0.35
"5227",5321,"Guitar Hero: Metallica","PS2","2009","Misc","Activision",0.17,0.13,0,0.04,0.35
"5228",5322,"Guilty Gear X2","PS2","2002","Fighting","Sammy Corporation",0.09,0.07,0.16,0.02,0.35
"5229",5323,"MotoGP 08","X360","2008","Racing","Capcom",0.11,0.2,0,0.04,0.35
"5230",5324,"Yu-Gi-Oh! 5D's Tag Force 5","PSP","2010","Strategy","Konami Digital Entertainment",0.13,0.05,0.14,0.03,0.35
"5231",5325,"Enemy Territory: Quake Wars","PS3","2008","Shooter","Activision",0.23,0.07,0,0.04,0.35
"5232",5326,"Tom Clancy's Rainbow Six: Lockdown","PS2","2005","Shooter","Ubisoft",0.17,0.13,0,0.04,0.35
"5233",5327,"From TV Animation One Piece: Tobidase Kaizokudan!","PS","2001","Role-Playing","Namco Bandai Games",0,0,0.32,0.02,0.35
"5234",5328,"The Tale of Despereaux","PS2","2008","Platform","Brash Entertainment",0.17,0.13,0,0.04,0.35
"5235",5329,"Aggressive Inline","PS2","2002","Sports","Acclaim Entertainment",0.17,0.13,0,0.04,0.35
"5236",5330,"Karaoke Revolution","PS2","2003","Misc","Konami Digital Entertainment",0.17,0.13,0,0.04,0.35
"5237",5331,"NFL Street","GC","2004","Sports","Electronic Arts",0.27,0.07,0,0.01,0.35
"5238",5332,"Hello Kitty Daily","DS","2008","Misc","Nobilis",0.32,0,0,0.03,0.35
"5239",5333,"Metal Arms: Glitch in the System","PS2","2003","Shooter","Vivendi Games",0.17,0.13,0,0.04,0.35
"5240",5334,"Farming Simulator 2015","PS4","2015","Simulation","Koch Media",0.1,0.2,0,0.05,0.35
"5241",5335,"Jikkyou Powerful Pro Yakyuu 7","PS2","2000","Sports","Konami Digital Entertainment",0,0,0.35,0,0.35
"5242",5336,"Rally Cross 2","PS","1998","Racing","989 Studios",0.19,0.13,0,0.02,0.35
"5243",5337,"EverGrace","PS2","2000","Role-Playing","Ubisoft",0.1,0.08,0.15,0.03,0.35
"5244",5338,"Def Jam Icon","X360","2007","Action","Electronic Arts",0.3,0.01,0,0.03,0.35
"5245",5339,"Lunar 2: Eternal Blue Complete","PS","1999","Role-Playing","Kadokawa Shoten",0.19,0.13,0,0.02,0.35
"5246",5340,"Street Fighter Alpha: Warriors' Dreams","SAT","1996","Fighting","Capcom",0,0,0.35,0,0.35
"5247",5341,"Rugrats: Royal Ransom","PS2","2002","Platform","THQ",0.17,0.13,0,0.04,0.35
"5248",5342,"Disney Fairies: Tinker Bell and the Great Fairy Rescue","DS","2010","Adventure","Disney Interactive Studios",0.18,0.14,0,0.03,0.35
"5249",5343,"MLB 06: The Show","PSP","2006","Sports","Sony Computer Entertainment",0.32,0,0,0.03,0.35
"5250",5344,"F1 Race Stars","PS3","2012","Racing","Codemasters",0.06,0.21,0,0.08,0.35
"5251",5345,"Over the Hedge","GC","2006","Platform","Activision",0.27,0.07,0,0.01,0.35
"5252",5346,"Naruto Shippuden: Ultimate Ninja Impact","PSP","2011","Fighting","Namco Bandai Games",0.09,0.07,0.15,0.04,0.35
"5253",5347,"Just Dance 2016","PS4","2015","Misc","Ubisoft",0.16,0.13,0,0.06,0.35
"5254",5348,"Charlie and the Chocolate Factory","PS2","2005","Adventure","Global Star",0.17,0.13,0,0.04,0.35
"5255",5349,"Pirates of the Caribbean: At World's End","DS","2007","Action","Disney Interactive Studios",0.3,0.01,0.01,0.03,0.35
"5256",5350,"UEFA Euro 2008 Austria-Switzerland","X360","2008","Sports","Electronic Arts",0.08,0.23,0,0.03,0.35
"5257",5351,"Kurushi Final: Mental Blocks","PS","1998","Puzzle","Sony Computer Entertainment",0,0,0.32,0.02,0.34
"5258",5352,"Style Lab: Jewelry Design","DS","2009","Simulation","Ubisoft",0.32,0,0,0.02,0.34
"5259",5353,"Risk / Battleship / Clue","GBA","2005","Misc","Zoo Digital Publishing",0.25,0.09,0,0.01,0.34
"5260",5354,"SD Gundam G Generation World","PSP","2011","Strategy","Namco Bandai Games",0,0,0.34,0,0.34
"5261",5355,"LEGO Pirates of the Caribbean: The Video Game","PSP","2011","Action","Disney Interactive Studios",0.11,0.15,0,0.08,0.34
"5262",5356,"The Wild Thornberrys Movie","GBA","2002","Platform","THQ",0.25,0.09,0,0.01,0.34
"5263",5357,"High School Musical 3: Senior Year DANCE!","PS2","2008","Misc","Disney Interactive Studios",0.17,0.13,0,0.04,0.34
